split,temperature_C,ema_feature,reference,pearson_r,n_rows
train,25.0,absI_dev_ema50,forbidden_cumulative_Ah,-0.004402122179956447,32506
train,25.0,absI_dev_ema50,SOC_physical,0.004523448730029075,32506
train,25.0,absI_dev_ema50,forbidden_trajectory_progress,-0.005105821829031424,32506
train,25.0,absI_ema200,forbidden_cumulative_Ah,0.13089550743742703,32506
train,25.0,absI_ema200,SOC_physical,-0.11479696701200824,32506
train,25.0,absI_ema200,forbidden_trajectory_progress,0.14182727429419867,32506
train,25.0,absI_dev_ema200,forbidden_cumulative_Ah,-0.025111536440226134,32506
train,25.0,absI_dev_ema200,SOC_physical,0.025237671687717678,32506
train,25.0,absI_dev_ema200,forbidden_trajectory_progress,-0.025810231250989205,32506
train,25.0,forbidden_cumulative_Ah,SOC_physical,-0.9987619882217982,32506
train,45.0,V_corr_raw_ema50,forbidden_cumulative_Ah,-0.9640666912823467,33578
train,45.0,V_corr_raw_ema50,SOC_physical,0.9640582360664048,33578
train,45.0,V_corr_raw_ema50,forbidden_trajectory_progress,-0.964067128814464,33578
train,45.0,V_corr_raw_dev_ema50,forbidden_cumulative_Ah,-0.28180605034176254,33578
train,45.0,V_corr_raw_dev_ema50,SOC_physical,0.2817451781937691,33578
train,45.0,V_corr_raw_dev_ema50,forbidden_trajectory_progress,-0.2817614442248,33578
train,45.0,V_corr_raw_ema200,forbidden_cumulative_Ah,-0.9759685132354091,33578
train,45.0,V_corr_raw_ema200,SOC_physical,0.9759621781067237,33578
train,45.0,V_corr_raw_ema200,forbidden_trajectory_progress,-0.9759625388820022,33578
train,45.0,V_corr_raw_dev_ema200,forbidden_cumulative_Ah,-0.2657119438551863,33578
train,45.0,V_corr_raw_dev_ema200,SOC_physical,0.2656708194971674,33578
train,45.0,V_corr_raw_dev_ema200,forbidden_trajectory_progress,-0.2657455796510421,33578
train,45.0,V_corr_raw_ema800,forbidden_cumulative_Ah,-0.9881373871631751,33578
train,45.0,V_corr_raw_ema800,SOC_physical,0.9881389120169994,33578
train,45.0,V_corr_raw_ema800,forbidden_trajectory_progress,-0.9881309654248882,33578
train,45.0,V_corr_raw_dev_ema800,forbidden_cumulative_Ah,-0.23040696467013205,33578
train,45.0,V_corr_raw_dev_ema800,SOC_physical,0.23035134535535293,33578
train,45.0,V_corr_raw_dev_ema800,forbidden_trajectory_progress,-0.23042632730882193,33578
train,45.0,I_raw_ema50,forbidden_cumulative_Ah,-0.00410374915892576,33578
train,45.0,I_raw_ema50,SOC_physical,0.004050790405327769,33578
train,45.0,I_raw_ema50,forbidden_trajectory_progress,-0.003561045717528738,33578
train,45.0,I_raw_dev_ema50,forbidden_cumulative_Ah,0.008449647837639284,33578
train,45.0,I_raw_dev_ema50,SOC_physical,-0.00844947379953286,33578
train,45.0,I_raw_dev_ema50,forbidden_trajectory_progress,0.00899544303387641,33578
train,45.0,I_raw_ema200,forbidden_cumulative_Ah,-0.12390600519913843,33578
train,45.0,I_raw_ema200,SOC_physical,0.12377418603686619,33578
train,45.0,I_raw_ema200,forbidden_trajectory_progress,-0.12398505668762057,33578
train,45.0,I_raw_dev_ema200,forbidden_cumulative_Ah,0.023276583334114198,33578
train,45.0,I_raw_dev_ema200,SOC_physical,-0.023276633789033545,33578
train,45.0,I_raw_dev_ema200,forbidden_trajectory_progress,0.02398498389282809,33578
train,45.0,absI_ema50,forbidden_cumulative_Ah,0.011916252173745331,33578
train,45.0,absI_ema50,SOC_physical,-0.012629753366538125,33578
train,45.0,absI_ema50,forbidden_trajectory_progress,0.012357004427095503,33578
