temperature_C,condition,bin_key,n_samples,SOC_IQR_fraction,SOC_range_fraction
0.0,C_raw_plus_V_dev_from_past200_tertile,"(37, 23, 1)",55,0.0016490758763473279,0.019328773217083817
0.0,C_raw_plus_V_dev_from_past200_tertile,"(37, 27, 2)",100,0.010713083313661276,0.019487152917479933
0.0,C_raw_plus_V_dev_from_past200_tertile,"(37, 28, 2)",86,0.010176350128204725,0.0194876503483713
0.0,C_raw_plus_V_dev_from_past200_tertile,"(38, 16, 1)",61,0.005250020083710005,0.028271655841377807
0.0,C_raw_plus_V_dev_from_past200_tertile,"(38, 17, 1)",60,0.006277051190069716,0.02871723912838986
0.0,C_raw_plus_V_dev_from_past200_tertile,"(38, 27, 2)",101,0.006623578236385486,0.04278896808314625
0.0,C_raw_plus_V_dev_from_past200_tertile,"(38, 28, 2)",110,0.01538251724128048,0.04278896967747614
0.0,C_raw_plus_V_dev_from_past200_tertile,"(38, 34, 2)",62,0.08068185237487968,0.1732207690790485
0.0,C_raw_plus_V_dev_from_past200_tertile,"(39, 27, 2)",125,0.02509863027850423,0.04358481609982534
0.0,C_raw_plus_V_dev_from_past200_tertile,"(39, 28, 2)",78,0.024860528376075552,0.04383199736191634
0.0,C_raw_plus_V_dev_from_past200_tertile,"(39, 31, 2)",62,0.03364932979191504,0.05670782366402738
0.0,C_raw_plus_V_dev_from_past200_tertile,"(39, 32, 2)",73,0.022260775214970052,0.09026953068863453
0.0,C_raw_plus_V_dev_from_past200_tertile,"(39, 33, 2)",125,0.03582892776144564,0.10507802378823217
0.0,C_raw_plus_V_dev_from_past200_tertile,"(39, 34, 2)",198,0.08863689862458801,0.22364961334090727
0.0,D_raw_plus_both_history_tertiles,"(0, 0, 0, 0)",53,0.12728712753546378,0.2854466419626413
0.0,D_raw_plus_both_history_tertiles,"(0, 0, 2, 0)",152,0.10659466156667069,0.3518700433676686
0.0,D_raw_plus_both_history_tertiles,"(0, 1, 2, 0)",84,0.05716333892727918,0.15002172803807778
0.0,D_raw_plus_both_history_tertiles,"(1, 0, 2, 0)",108,0.18005402044710195,0.3579738368008313
0.0,D_raw_plus_both_history_tertiles,"(1, 1, 2, 0)",57,0.0756627648544364,0.15200621591800428
0.0,D_raw_plus_both_history_tertiles,"(1, 2, 2, 0)",57,0.02730441094584629,0.11428045750503679
0.0,D_raw_plus_both_history_tertiles,"(2, 0, 2, 0)",73,0.2005268505800608,0.3200250238587981
0.0,D_raw_plus_both_history_tertiles,"(2, 1, 2, 0)",91,0.10816648738526125,0.2333263339100083
0.0,D_raw_plus_both_history_tertiles,"(3, 1, 2, 0)",56,0.02968921616738268,0.20936483383806187
0.0,D_raw_plus_both_history_tertiles,"(8, 7, 0, 0)",54,0.043411821576915144,0.13302206935628363
0.0,D_raw_plus_both_history_tertiles,"(9, 16, 2, 1)",56,0.006505744245257655,0.03000791392166091
0.0,D_raw_plus_both_history_tertiles,"(12, 23, 0, 2)",52,0.0012431584513838967,0.002447905778256293
0.0,D_raw_plus_both_history_tertiles,"(12, 27, 2, 2)",56,0.0037944027072656927,0.018256571997782106
0.0,D_raw_plus_both_history_tertiles,"(15, 16, 2, 1)",71,0.006139869475614179,0.03098673568412208
0.0,D_raw_plus_both_history_tertiles,"(15, 17, 2, 1)",58,0.006336694402848397,0.032806519595808215
0.0,D_raw_plus_both_history_tertiles,"(19, 22, 0, 1)",51,0.0012127035639195038,0.037738593163191114
0.0,D_raw_plus_both_history_tertiles,"(20, 16, 2, 1)",55,0.005278009605890532,0.03383415074451146
0.0,D_raw_plus_both_history_tertiles,"(20, 27, 2, 2)",78,0.006804377362340519,0.010937734710678992
0.0,D_raw_plus_both_history_tertiles,"(22, 16, 0, 0)",50,0.006167436101820467,0.009337706795694234
0.0,D_raw_plus_both_history_tertiles,"(22, 27, 0, 1)",77,0.010932002032232102,0.042610061918271325
0.0,D_raw_plus_both_history_tertiles,"(24, 27, 0, 1)",53,0.017949527465590198,0.03161399825708616
0.0,D_raw_plus_both_history_tertiles,"(25, 27, 2, 2)",70,0.003640038638136167,0.04077075795968982
0.0,D_raw_plus_both_history_tertiles,"(25, 28, 2, 2)",54,0.01093475716695319,0.040770771245771276
0.0,D_raw_plus_both_history_tertiles,"(27, 22, 0, 1)",59,0.0015578778214166977,0.003169696602292049
